p_mtorr,Te_eV,f_ion,n_m3,lam,gam,gamma_c,gam_over_gc,t_pen_periods,t_pen_ms
17.78279410038923,4.728708045015879,1e-06,575948595630351.9,11.314762502041383,84342.85011603888,15.524042426982037,5433.046869895447,0.1382290319945837,0.0005529161279783348
17.78279410038923,4.728708045015879,1e-05,5759485956303519.0,11.767842953031543,9123.282343444076,16.254305451625463,561.2840469004309,0.46556436929056466,0.0018622574771622587
17.78279410038923,4.728708045015879,0.0001,5.759485956303518e+16,12.280109054761185,993.4861906677224,17.083198268715424,58.155749002053106,1.5873204923086297,0.006349281969234519
17.78279410038923,4.728708045015879,0.001,5.759485956303519e+17,12.865680997374813,109.04931590376628,18.03508013624104,6.046511303525313,5.863542382825196,0.023454169531300785
17.78279410038923,4.728708045015879,0.01,5.759485956303519e+18,13.543895123366491,12.084941486370232,19.143529860320886,0.6312807290268286,inf,inf
17.78279410038923,4.728708045015879,0.1,5.759485956303519e+19,14.342075301406451,1.3551313246942565,20.456351604018593,0.06624501528552358,inf,inf
17.78279410038923,4.728708045015879,1.0,5.7594859563035184e+20,15.300346379859935,0.15422682327442083,22.04434142974903,0.006996209152625916,inf,inf
17.78279410038923,10.0,1e-06,575948595630351.9,19.149123122701237,241576.77024314422,28.548881518957472,8461.864612199559,0.3172345982034453,0.0012689383928137811
17.78279410038923,10.0,1e-05,5759485956303519.0,19.860319941625516,25985.42765739084,29.77212417075808,872.8106704228212,1.0630447008508055,0.004252178803403222
17.78279410038923,10.0,0.0001,5.759485956303518e+16,20.65713939381249,2811.2388625349718,31.150186447518184,90.24789842819546,3.5944421395559205,0.014377768558223682
17.78279410038923,10.0,0.001,5.759485956303519e+17,21.558267166578155,306.1858292947468,32.71806763177664,9.358310299394672,12.792593219981415,0.05117037287992566
17.78279410038923,10.0,0.01,5.759485956303519e+18,22.588646301899516,33.61536242648184,34.52281621314161,0.9737143754131409,inf,inf
17.78279410038923,10.0,0.1,5.759485956303519e+19,23.782457732237475,3.7262402676784063,36.62940595607246,0.10172811080111624,inf,inf
17.78279410038923,10.0,1.0,5.7594859563035184e+20,25.188042538148714,0.4179710707519112,39.13052149944173,0.010681459248067378,inf,inf
31.622776601683793,0.5,1e-06,1024197528850288.1,2.406556045034245,2145.602902424528,2.6953427704383546,796.0408323411793,0.016345092373657045,6.538036949462819e-05
31.622776601683793,0.5,1e-05,1.0241975288502882e+16,2.5358360602609764,238.231801173381,2.840136387492294,83.88040877985033,0.056209088203091534,0.00022483635281236614
31.622776601683793,0.5,0.0001,1.0241975288502883e+17,2.688472799932397,26.77741698024307,3.011089535924285,8.89293282739381,0.20473034887161404,0.0008189213954864562
31.622776601683793,0.5,0.001,1.0241975288502883e+18,2.872468567315232,3.0568065666759936,3.21716479539306,0.950155419782444,inf,inf
31.622776601683793,0.5,0.01,1.0241975288502882e+19,3.1002782012464705,0.35608913361765854,3.472311585396047,0.1025510311676259,inf,inf
31.622776601683793,0.5,0.1,1.0241975288502883e+20,3.39260190907876,0.04264058869120986,3.7997141381682114,0.011222051749336671,inf,inf
31.622776601683793,0.5,1.0,1.0241975288502882e+21,3.78705956931791,0.0053132672467599545,4.241506717636059,0.0012526839164647664,inf,inf
31.622776601683793,1.057371263440564,1e-06,1024197528850288.1,4.029438157505571,6015.148826665997,4.51297073640624,1332.8579284021612,0.03540382417838438,0.00014161529671353752
31.622776601683793,1.057371263440564,1e-05,1.0241975288502882e+16,4.225347956290155,661.4276487942761,4.7323897110449735,139.7660989860077,0.12060724686437772,0.0004824289874575109
31.622776601683793,1.057371263440564,0.0001,1.0241975288502883e+17,4.452926132828837,73.4595679018808,4.987277268768298,14.729393202560608,0.4258488180842724,0.0017033952723370896
31.622776601683793,1.057371263440564,0.001,1.0241975288502883e+18,4.721740824073373,8.2596506278841,5.288349722962178,1.5618578688206723,2.3669069900493676,0.009467627960197471
31.622776601683793,1.057371263440564,0.01,1.0241975288502882e+19,5.045967333354837,0.9432922295407566,5.651483413357418,0.16691055437078034,inf,inf
31.622776601683793,1.057371263440564,0.1,1.0241975288502883e+20,5.4476987877722935,0.10994704488126891,6.10142264230497,0.018019903115535293,inf,inf
31.622776601683793,1.057371263440564,1.0,1.0241975288502882e+21,5.963722045020583,0.013176260585432696,6.679368690423053,0.001972680532566641,inf,inf
31.622776601683793,2.23606797749979,1e-06,1024197528850288.1,6.773233684182637,16996.108960093094,8.127784329732792,2091.112198673689,0.07985414334121403,0.00031941657336485613
31.622776601683793,2.23606797749979,1e-05,1.0241975288502882e+16,7.073993937837203,1853.9019199724537,8.684297758590057,213.47747066119078,0.27318890578942506,0.0010927556231577003
31.622776601683793,2.23606797749979,0.0001,1.0241975288502883e+17,7.418741554523438,203.90030312272012,9.272834777148065,21.988993444077227,0.9559932235260338,0.003823972894104135
31.622776601683793,2.23606797749979,0.001,1.0241975288502883e+18,7.819362879196217,22.65166468445309,9.931816847859977,2.2807171166606715,4.299384293067301,0.017197537172269205
31.622776601683793,2.23606797749979,0.01,1.0241975288502882e+19,8.292788990816021,2.5477606020177377,10.695628349243034,0.23820579014397517,inf,inf
31.622776601683793,2.23606797749979,0.1,1.0241975288502883e+20,8.864130804605294,0.2910916178847339,11.608580006260432,0.025075557710568398,inf,inf
